initial_prompt,optimized_prompt,initial_synth_score,optimized_synth_score,initial_true_score,optimized_true_score
"Please format the following raw transcript for readability, including punctuation, speaker labels (look for semicolons after names), and spacing. Remove filler words:

{TEXT}
","
    ### Instruction###
    Format the raw transcript for readability by adding punctuation, speaker labels (looking for semicolons after names), and spacing. Remove filler words. Ensure that your answer is unbiased and does not rely on stereotypes.

    ### Example###
    A well-formatted transcript might look like this:
    ""John: Hi, how are you?
    Sarah: I'm good, thanks. What about you?""

    ###Question###
    Can you format the following raw transcript?

    {TEXT}

    The formatted transcript should look like this:
    ",25.208664712109908,31.229374970681523,18.220943884130154,21.112065960060107
"You are a helpful assistant for Aidan. Your task is to correct any spelling discrepancies in the transcribed text. Only add necessary punctuation such as periods, commas, and capitalization, and use only the context provided. You can not generate text based on the input, you may only correct the input punctuationally and grammatically. If the transcribed text is blank then do not return anything

{TEXT}","
    ####Instruction###
    ###You are a helpful assistant for Aidan###
    Your task is to correct any spelling discrepancies in the transcribed text by adding necessary punctuation such as periods, commas, and capitalization, using only the context provided. You MUST not generate text based on the input; you may only correct the input punctuationally and grammatically. If the transcribed text is blank, do not return anything.


    {TEXT}
    ",65.31716845819575,70.32526568046332,88.82728564693022,88.92008626282839
Correct the grammar in the sentence: {TEXT},"
    ###
    Instruction###
    Correct the grammar in the sentence: 
    Provide the corrected sentence as the output, starting with: ""The corrected sentence is: ""
    ###
    Example###
    * Input: ""Me and my friend going to the store.""
    * Output: ""The corrected sentence is: My friend and I are going to the store.""
    ###
    Question###
    Correct the grammar in the sentence: {TEXT}
    ",15.22662491255733,58.25822142408037,16.623673877219662,50.80716469500827
"Reformat the following transcript into Markdown, bolding the speakers. Combine consecutive lines from speakers, and split into paragraphs as necessary. Try to fix speaker labels, capitalization or transcription errors, and make light edits such as removing ums, etc. There is some Danish, please italicize the Danish sentences. Reply with only the corrected transcript as we will be using your output programmatically:

{TEXT}","

Act as a meticulous transcript reformatter, and your task is to produce a highly accurate and corrected transcript. Assume the role of a skilled Markdown expert and focus on refining the given transcript. Do reformat the following transcript into Markdown, ensuring that you bold the speakers. Combine consecutive lines from speakers, and split into paragraphs as necessary. Be meticulous in fixing speaker labels, capitalization, or transcription errors, and make light edits such as removing ums, etc. When you encounter Danish sentences, do italicize them.

Remember, your goal is to provide a polished and corrected transcript, so take your time and focus on attention to detail. Do not include any additional comments or explanations, and only reply with the corrected transcript as we will be using your output programmatically.

Here is a correctly formatted transcript to guide you:

**Speaker 1**: This is a sample transcript.
**Speaker 2**: _Dette er en dansk sætning_.
**Speaker 1**: This is another sentence.

Now, please reformat the following transcript:

{TEXT}

",33.24878857375598,78.2795531401924,26.447263774704794,66.47735362602232
"Please fix the grammatical errors in this English translation of Bhagavad Gita. You should only fix the grammatical errors and any other inconsistencies. Do not change the meaning.

{TEXT}","

Highly experienced linguists and Bhagavad Gita experts will meticulously evaluate your responses. To ensure utmost accuracy, follow the Chain-of-thought process and adhere to the guidelines below:

Correct grammatical errors in the provided English translation of Bhagavad Gita, without modifying the original meaning or tone. Please refrain from adding polite phrases or unnecessary information. 

Example of a corrected response:

Original text: ""The yogi, who has controlled the mind and senses, will be liberated.""
Corrected text: ""The yogi, who has controlled the mind and the senses, will be liberated.""

Using this example as a reference, correct the grammatical errors in the following English translation of Bhagavad Gita:

{TEXT}

Begin your response with ""Corrected text:""

",30.021040422567392,58.397691915015805,9.476090581035164,55.54101607114814
"

Human: Here is an article, contained in <article> tags:

            <article>
            {TEXT}
            </article>

            Please identify any grammatical errors in the article. Also, add the fixed article at the end of answer.
            
            Assistant: ","
        Teach me how to identify grammatical errors in an article and include a test at the end, but don't give me the answers. Your task is to write a prompt that accomplishes this, and you MUST use the following format:

        ####
        Human: Here is an article, contained in <article> tags:

                <article>
                {TEXT}
                </article>

                Your task is to identify any grammatical errors in the article. Also, add the fixed article at the end of the answer.

                Assistant: 
        ####
        
        Now, respond with your answer, and I'll tell you if you got it right!
        ",19.946868352396503,35.89588441040539,11.360797851132794,6.7547279105331315
"rewrite my message, correct the grammar and make it more friendly, natural, shorter, and clearer. {TEXT}","

###Optimized Instruction###

To provide a clear and concise rewritten message, follow these guidelines:

1. Correct grammatical errors to ensure clarity.
2. Use a friendly and natural tone that resonates with a general audience.
3. Make the message shorter and more concise while preserving the original intent.
4. Improve the overall clarity and flow of the message.

###Example Output###
Rewritten message: ""Could you explain the new policy to me?""

###Your Task###
Please rewrite the following message, adhering to the above guidelines, and start your response with ""Rewritten message: "".

###Input Data###
{TEXT}

",20.88998948299382,47.99640104098694,11.905796768796154,45.000113195388316
Correct any grammar mistakes in the following text and return the corrected text: {TEXT},"
    ###Instruction###
    Your task is to correct any grammar mistakes in the given text while preserving the original writing style. You MUST focus only on improving the grammar and vocabulary.

    ###Example###
    If the input text is ""The dog chased it's tail"", the corrected output should be ""The dog chased its tail"".

    ###Context###
    Please treat the input text as a paragraph written by a user.

    ###Input Data###
    {TEXT}

    Please use the same language and tone as the provided input text. Your response should only include the corrected text.
    ",20.15783461512485,89.20441126651386,18.735257763532488,91.73681891080179
"
                         Proof read this '{TEXT}',
                         and correct any spelling or grammar mistakes.
                        ","
    Here is the rewritten prompt using the given principles:

    ####
    Your task is to carefully proofread the text '{TEXT}'. Ensure that your answer is unbiased and does not rely on stereotypes. 
    You MUST correct any spelling or grammar mistakes. 
    The corrected text should be in the following format: 
    ""Corrected text: [insert corrected text here]"". 
    Please respond in the above format, and I will test your understanding by providing feedback on your response.
    ####
    ",21.938244884541987,50.28586158861428,17.56696749786215,63.319803059461435
"Generate a grammar correction of the following sentence:

{TEXT}","

To ensure accurate and precise grammar corrections, I'll need your input sentence. Please fill in the sentence that requires correction in the space provided: {TEXT}. I'll meticulously review the sentence, ask targeted questions to clarify its context and nuances, and provide a corrected sentence that not only rectifies grammatical errors but also maintains the original tone, style, and meaning.

",15.406711559953578,31.035836809668275,12.757873807525758,18.68908801919708
